Time,x,y,z
1179620,-178.63355992189562,-1.0607319977590235,-125.79707095950984
1179818,-178.62753123919242,-1.0642440158866777,-125.77211468820913
1180073,-178.62140070817512,-1.0829253263634815,-125.78181065372998
1180173,-178.6150789274359,-1.070617129070338,-125.77230739046614
1180273,-178.6211569947481,-1.0517938539014933,-125.77202406908722
1180374,-178.63366173555238,-1.0610127225605923,-125.77824518456912
1180473,-178.63076931425968,-1.0860616354775154,-125.77857131507868
1180574,-178.6400681002296,-1.104271791214019,-125.81316744373215
1180673,-178.64311047687804,-1.0948614842637554,-125.8130266767652
1180773,-178.67463335346605,-1.1259474082708054,-125.8098984558581
1180873,-178.684287791299,-1.1446660500674724,-125.80379166979071
1180972,-178.6966833173481,-1.1381591124999244,-125.81300724936462
1181217,-178.6654624663977,-1.1385837494540865,-125.8039089042343
1181321,-178.6684058255069,-1.129132000084777,-125.80999666747601
1181420,-178.64968817022148,-1.1076367722249476,-125.7880605871625
1181520,-178.68693395945616,-1.119400398606909,-125.82534338174362
1181620,-178.66199559461745,-1.085628554879021,-125.7876845945199
1181720,-178.68669335260017,-1.0880300083666832,-125.82817188485289
1181820,-178.66806515279922,-1.097718950414729,-125.81904838414094
1181920,-178.6677741106727,-1.081901583637376,-125.83450769279506
1182020,-178.6490991261502,-1.0759972961307929,-125.81897398996911
1182120,-178.6867478624509,-1.0881667466618603,-125.8187598998364
1182316,-178.68356319645972,-1.0819403010671798,-125.81871860700802
1182466,-178.68988579785147,-1.0787973975228715,-125.81239600561625
1182567,-178.69601830675603,-1.0755720735192786,-125.81852851452082
1182666,-178.70200354860975,-1.0721714195640095,-125.8403019854491
1182767,-178.66194191336757,-1.0854898665560497,-125.79709732391586
1182867,-178.6710974683519,-1.1037654129503292,-125.8347298968205
1182966,-178.65870729000838,-1.0948157798230673,-125.80969052135009
1183067,-178.66472990435602,-1.0913116718968343,-125.83464610424319
1183166,-178.65850190365197,-1.0944948674862947,-125.83474269649625
1183266,-178.66497695522736,-1.0915347239363107,-125.81277895604632
1183513,-178.67740848729701,-1.116080900554634,-125.84422389162783
1183613,-178.65541465048148,-1.0883108269020993,-125.8284722158978
1183712,-178.68012320956416,-1.0909519352521448,-125.8563640024084
1183865,-178.68017680231563,-1.0753981544131366,-125.84372829239831
1183969,-178.69891403537343,-1.065985255263977,-125.83403290212301
1184070,-178.69563633592003,-1.0597169171034586,-125.8402197849368
1184169,-178.67999612122244,-1.0598557678048912,-125.84036604486526
1184269,-178.707895477056,-1.0530416389661075,-125.86508435973344
1184415,-178.6581773016493,-1.0476277439571888,-125.82796952749351
1184515,-178.65807598902583,-1.0630391401502557,-125.85001882824488
1184666,-178.63939930538103,-1.057133680127291,-125.83448151417704
1184765,-178.6268474996911,-1.0634550262657663,-125.84090083338904
1184866,-178.6361565720173,-1.0662186352276115,-125.85967227791687
1184966,-178.64234078488371,-1.06313234872743,-125.85639411858169
1185165,-178.63630375788003,-1.0664034436134726,-125.8440330368509
1185287,-178.64552345389401,-1.069360001127454,-125.85643820702042
1185386,-178.65792929340438,-1.062857285420722,-125.86565857237528
1185486,-178.66734023672865,-1.065903492298409,-125.86560670076776
1185585,-178.66734023672865,-1.065903492298409,-125.86560670076776
1185686,-178.64851837557032,-1.0598110744233011,-125.86570994342682
1185868,-178.64851837557032,-1.0598110744233011,-125.86570994342682
1185967,-178.6421940643521,-1.062948333924223,-125.87203425464504
